,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Team Name
0,Abrar Ahmed,2023-2023,3,2,,,0,,2,0,,0,2,0,0,
1,Ahmed Safi Abdullah,2020-2020,3,2,2,9,8*,,13,69.23,,0,0,1,0,
2,Akif Javed,2020-2021,11,3,3,0,0*,,3,0,,0,0,0,0,
3,Ali Khan,2021-2021,3,-,-,-,-,-,-,-,-,-,-,-,-,
4,Amad Butt,2017-2020,16,9,2,60,17,8.57,57,105.26,0,0,2,3,4,
5,Ashar Zaidi,2016-2016,3,2,0,8,6,4,16,50,0,0,0,0,0,Islamabad United
6,Asif Ali,2016-2023,76,66,16,1130,75,22.6,717,157.6,0,3,3,63,88,Islamabad United
7,Athar Mahmood,2022-2022,3,1,1,0,0*,-,0,-,0,0,0,0,0,Islamabad United
8,Azam Khan,2022-2023,22,20,3,578,97,34,384,150.52,0,4,1,46,36,Islamabad United
9,Azhar Mahmood,2016-2016,2,2,2,14,12*,-,12,116.66,0,0,0,2,0,Islamabad United
10,Babar Azam,2016-2016,2,2,0,15,15,7.5,26,57.69,0,0,1,1,0,Islamabad United
11,S Badree,2016-2017,7,1,1,2,2*,-,2,100,0,0,0,0,0,Islamabad United
12,IR Bell,2019-2019,1,1,0,54,54,54,46,117.39,0,1,0,6,0,Islamabad United
13,SW Billings,2016-2017,10,9,2,167,78*,23.85,128,130.46,0,1,1,16,5,Islamabad United
14,TK Curran,2023-2023,5,3,1,21,10*,10.5,11,190.9,0,0,0,1,2,Islamabad United
15,Danish Aziz,2022-2022,3,3,1,36,30*,18,44,81.81,0,0,1,4,0,Islamabad United
16,LA Dawson,2022-2022,7,7,1,107,31,17.83,85,125.88,0,0,0,14,3,Islamabad United
17,M de Lange,2022-2022,5,3,2,9,7*,9,12,75,0,0,0,0,0,Islamabad United
18,CS Delport,2019-2019,12,12,1,355,117*,32.27,265,133.96,1,1,3,35,13,Islamabad United
19,BM Duckett,2017-2017,2,2,0,30,16,15,34,88.23,0,0,0,4,0,Islamabad United
20,JP Duminy,2018-2018,10,9,2,251,73*,35.85,249,100.8,0,2,0,22,8,Islamabad United
21,Faheem Ashraf,2018-2023,60,47,18,703,55,24.24,478,147.07,0,3,3,61,35,Islamabad United
22,Fawad Ahmed,2021-2021,5,2,2,4,4*,-,6,66.66,0,0,0,0,0,Islamabad United
23,Fazalhaq Farooqi,2023-2023,6,2,1,0,0*,0,2,0,0,0,1,0,0,Islamabad United
24,ST Finn,2018-2018,5,1,0,0,0,0,1,0,0,0,1,0,0,Islamabad United
25,L Gregory,2021-2021,2,1,1,49,49*,-,31,158.06,0,0,0,6,1,Islamabad United
26,BJ Haddin,2016-2017,17,17,4,327,73,25.15,250,130.8,0,4,2,25,15,Islamabad United
27,AD Hales,2018-2023,25,25,1,760,82*,31.66,535,142.05,0,4,0,94,24,Islamabad United
28,Hasan Ali,2021-2023,27,13,3,120,45,12,88,136.36,0,0,1,9,6,Islamabad United
29,Hassan Nawaz,2023-2023,3,3,0,28,21,9.33,28,100,0,0,1,3,1,Islamabad United
30,Hussain Talat,2017-2021,40,32,5,619,56,22.92,525,117.9,0,1,2,48,17,Islamabad United
31,Iftikhar Ahmed,2018-2021,13,10,3,230,71*,32.85,194,118.55,0,1,0,17,9,Islamabad United
32,Imran Khalid,2016-2017,12,5,0,39,18,7.8,43,90.69,0,0,0,1,2,Islamabad United
33,CA Ingram,2020-2020,9,9,2,206,63*,29.42,137,150.36,0,1,0,18,8,Islamabad United
34,WG Jacks,2022-2022,2,2,0,11,11,5.5,10,110,0,0,1,0,1,Islamabad United
35,Kamran Ghulam,2016-2016,2,1,0,9,9,9,12,75,0,0,0,0,0,Islamabad United
36,Khalid Latif,2016-2016,9,7,1,206,59,34.33,173,119.07,0,1,0,11,9,Islamabad United
